"","PubmedID","Title","Abstract","Journal","Volume","Issue"
"1","29439305","Strategic Application of Radiotherapy for Hepatocellular Carcinoma.","With increasing clinical use, radiotherapy (RT) has been considered reliable and effective method for hepatocellular carcinoma (HCC) treatment, depending on extent of disease and patient characteristics. RT for HCC can improve therapeutic outcomes through excellent local control, downstaging, conversion from unresectable to resectable status, and treatments of unresectable HCCs with vessel invasion or multiple intrahepatic metastases. In addition, further development of modern RT technologies, including image-guided radiotherapy (IGRT), intensity-modulated radiotherapy (IMRT), and stereotactic body radiotherapy, has expanded the indication of RT. An essential feature of IGRT is that it allows image guidance therapy through in-room images obtained during radiation delivery. Compared with 3D-conformal RT, distinctions of IMRT are inverse treatment planning process and use of a large number of treatment fields or subfields, which provide high precision and exquisitely conformal dose distribution. These modern RT techniques allow more precise treatment by reducing inter- and intra-fractional errors resulting from daily changes and irradiated dose at surrounding normal tissues. More recently, particle therapy has been actively investigated to improve effectiveness of RT. This review discusses modern RT strategies for HCC, as well as optimal selection of RT in multimodal approach for HCC.","Clinical and molecular hepatology",NA,NA
"2","29439298","A Rare Cause of Pancreatic Head Mass: Metastatic Prostate Cancer - A Case Report and Review of Literature.","Metastases to the pancreas account for less than 5 percent of all malignancies affecting the pancreas. The most common secondary malignancy of the pancreas is renal cell carcinoma. We report a patient presented with abdominal pain and weight loss. Computed tomography (CT) imaging showed pancreatic head mass. Biopsy from the mass showed prostate metastasis after 13 years from radical prostatectomy and Leuprolide therapy. This case demonstrates a rare location for prostate metastasis which was the pancreas. To our knowledge there are only six cases reported in literature. Due to increased long-term survival of prostate cancer patients, the frequency of metastases to the pancreas will likely increase. Therefore, clinicians need to be aware the pancreatic tumor may be secondary to an extrapancreatic malignancy.","South Dakota medicine : the journal of the South Dakota State Medical Association","71","1"
"3","29439288","Childhood pneumothorax in Birt-Hogg-Dubé syndrome: A cohort study and review of the literature.","BACKGROUND: Birt-Hogg-Dubé syndrome (BHD) is an autosomal dominantly inherited cancer predisposition syndrome associated with an increased risk of spontaneous pneumothorax (SP) and renal cell carcinoma in the adult population. Recent studies suggest that BHD accounts for up to 10% of all SP in adults and BHD in children with SP have been reported.METHODS: To explore to what extent BHD is the cause of childhood pneumothorax, we studied a Danish BHD cohort consisting of 109 cases from 22 families. Clinical data was gathered by review of medical records. A systematic literature search concerning childhood and adolescence pneumothorax in BHD was performed and identified publications reviewed.RESULTS: In our cohort, three of 109 BHD cases experienced childhood pneumothorax, corresponding to a prevalence of 3%. Reviewing the literature, data regarding more than 800 BHD cases were covered. Only seven previously published cases of childhood pneumothorax in BHD were identified.CONCLUSION: Our findings suggest that BHD is likely the cause of a larger subset of childhood pneumothoraces than hitherto recognized. Awareness of BHD as a cause of childhood pneumothorax needs to be raised to provide patients and relatives with the possibility of specialized management of SP and regular renal cancer surveillance.","Molecular genetics &amp; genomic medicine",NA,NA
"4","29439278","Delineation of the extent of early gastric cancer by magnifying narrow-band imaging and chromoendoscopy: a multicenter randomized controlled trial.","BACKGROUND:  Accurate delineation of tumor margins is necessary for curative resection of early gastric cancer (EGC). The objective of this multicenter, randomized, controlled study was to compare the accuracy with which magnifying narrow-band imaging (M-NBI) and indigo carmine chromoendoscopy delineate EGC margins.METHODS:  Patients with EGC<U+200A>=<U+200A>10<U+200A>mm undergoing endoscopic or surgical resection were enrolled. The oral-side margins of the lesions were first evaluated with conventional white-light endoscopy in both groups and then delineated by either chromoendoscopy or M-NBI. Biopsies were taken from noncancerous and cancerous mucosa, each at 5<U+200A>mm from the margin. Accurate delineation was judged to have been achieved when the histological findings in all biopsy samples were consistent with endoscopic diagnoses. The primary end point was the difference in rate of accurate delineation between the two techniques.CONCLUSIONS:  M-NBI does not offer superior delineation of EGC margins compared with chromoendoscopy; the two methods appear to be clinically equivalent.","Endoscopy",NA,NA
"5","29439259","Downregulation of PRAME Suppresses Proliferation and Promotes Apoptosis in Hepatocellular Carcinoma Through the Activation of P53 Mediated Pathway.","AIMS: The expression of PRAME and its role in hepatocellular carcinoma (HCC) remain unknown. The aim of this study was to examine the functional role of PRAME in HCC development and exploring the molecular mechanism.METHODS: We first detected PRAME expression in 96 human HCC tissue samples and correlated with clinicopathological characteristics and prognosis of the patients. We then established stable HCC cell lines with PRAME overexpression and knockdown followed by functional analysis in vitro. Further, we examined the relationship between PRAME and p53 pathway in vitro by using Western blotting. Finally, PRAME expression was detected to evaluate its correlation with p-p53 and p53 pathway related apoptotic proteins in xenograft tumor mouse model using immunohistochemistry.RESULTS: PRAME expression was significantly higher in HCC tissues than in adjacent non-tumor tissues and their expression was positively correlated with alpha fetoprotein levels and tumor size. In addition, PRAME expression was associated with AJCC stage and is a potential biomarker of poor prognosis regarding 5-year overall survival in HCC. In vitro studies, we found that PRAME expression was higher in HCC cell lines than in normal hepatic cell line. Inhibited cell proliferation and increased cell apoptosis was observed in PRAME knockdown HCC cells. Futher, increased cell apoptosis was correlated with the proportion of cells in G0/G1 stage, activated p53 mediated apoptosis, and increased cyclin p21 expression. Xenograft analysis in nude mice also found that PRAME knockdown inhibited tumorigenesis while PRAME overexpression had opposite effect.CONCLUSIONS: In HCC, PRAME serves as a potential biomarker for poor prognosis and novel therapeutic target in treating this cancer. PRAME is a potential biomarker of poor prognosis in HCC. PRAME surpresses HCC cell death in vitro and in vivo by regulating p53 apoptotic signaling and may serve as a potential therapeutic target in HCC.","Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology","45","3"
"6","29439258","Bone Marrow Cell Therapy on 1,2-Dimethylhydrazine (DMH)-Induced Colon Cancer in Rats.","AIMS: Stem cell based therapies are being under focus due to their possible role in treatment of various tumors. Bone marrow stem cells believed to have anticancer potential and are preferred for their activities by stimulating the immune system, migration to the site of tumor and ability for inducting apoptosis in cancer cells. The current study was aimed to investigate the tumor suppressive effects of bone marrow cells (BMCs) in 1,2-dimethylhydrazine (DMH)-induced colon cancer in rats.METHODS: The rats were randomly allocated into four groups: control, BMCs alone, DMH alone and BMCs with DMH. BMCs were injected intrarectally while DMH was injected subcutaneously at 20 mg/kg body weight once a week for 15 weeks. Histopathological examination and gene expression of survivin, ß-catenin and multidrug resistance-1 (MDR-1) by real-time reverse transcription-polymerase chain reaction (RT-PCR) in rat colon tissues. This is in addition to oxidative stress markers in colon were performed across all groups.RESULTS: The presence of aberrant crypt foci was reordered once histopathological examination of colon tissue from rats which received DMH alone. Administration of BMCs into rats starting from zero-day of DMH injection improved the histopathological picture which showed a clear improvement in mucosal layer, few inflammatory cells infiltration periglandular and in the lamina propria. Gene expression in rat colon tissue demonstrated that BMCs down-regulated survivin, ß-catenin, MDR-1 and cytokeratin 20 genes expression in colon tissues after colon cancer induction. Amelioration of the colon status after administration of MSCs has been evidenced by a major reduction of lipid peroxidation, nitric oxide, and increasing of glutathione content and superoxide dismutase along with catalase activities.CONCLUSION: Our findings demonstrated that BMCs have tumor suppressive effects in DMH-induced colon cancer as evidenced by down-regulation of survivin, ß-catenin, and MDR-1 genes and enhancing the antioxidant activity.","Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology","45","3"
"7","29439245","Downregulation of SPINK13 Promotes Metastasis by Regulating uPA in Ovarian Cancer Cells.","AIMS: Ovarian cancer (OC) is the fifth leading cause of cancer-related death in women, and it is difficult to diagnose at an early stage. The purpose of this study was to explore the prognostic biological markers of OC.METHODS: Univariate Cox regression analysis was used to identify genes related to OC prognosis from the Cancer Genome Atlas(TCGA) database. Immunohistochemistry was used to analyse the level of SPINK13 in OC and normal tissues. Cell proliferation, apoptosis and invasion were performed using MTT assay, flow cytometric analysis and Transwell assay, respectively.RESULTS: We identified the Kazal-type serine protease inhibitor-13 (SPINK13) gene related to OC prognosis from the Cancer Genome Atlas (TCGA) database by univariate Cox regression analysis. Overexpression of SPINK13 was associated with higher overall survival rate in OC patients. Immunohistochemistry showed that the level of SPINK13 protein was significantly lower in OC tissues than in normal tissues (P &lt; 0.05).In vitro experiments showed that the overexpression of SPINK13 inhibited cellular proliferation and promoted apoptosis. Moreover, SPINK13 inhibited cell migration and epithelial to mesenchymal transition (EMT). SPINK13 was found to inhibit the expression of urokinase-type plasminogen activator (uPA), while recombinant uPA protein could reverse the inhibitory effect of SPINK13 on OC metastasis.CONCLUSION: These results indicate that SPINK13 functions as a tumour suppressor. The role of SPINK13 in cellular proliferation, apoptosis and migration is uPA dependent, and SPINK13 may be used as a potential biomarker for diagnosis and targeted therapy in OC.","Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology","45","3"
"8","29439238","Live imaging of neurogenesis in the adult mouse hippocampus.","Neural stem and progenitor cells (NSPCs) generate neurons throughout life in the mammalian hippocampus. We used chronic in vivo imaging and followed genetically labeled individual NSPCs and their progeny in the mouse hippocampus for up to 2 months. We show that NSPCs targeted by the endogenous Achaete-scute homolog 1 (Ascl1) promoter undergo limited rounds of symmetric and asymmetric divisions, eliciting a burst of neurogenic activity, after which they are lost. Further, our data reveal unexpected asymmetric divisions of nonradial glia-like NSPCs. Cell fates of Ascl1-labeled lineages suggest a developmental-like program involving a sequential transition from a proliferative to a neurogenic phase. By providing a comprehensive description of lineage relationships, from dividing NSPCs to newborn neurons integrating into the hippocampal circuitry, our data offer insight into how NSPCs support life-long hippocampal neurogenesis.","Science (New York, N.Y.)","359","6376"
"9","29439204","hMENA is a key regulator in endothelin-1/ß-arrestin1-induced invadopodial function and metastatic process.","","Proceedings of the National Academy of Sciences of the United States of America",NA,NA
"10","29439200","Capping protein regulates actin dynamics during cytokinetic midbody maturation.","During cytokinesis, a cleavage furrow generated by actomyosin ring contraction is restructured into the midbody, a platform for the assembly of the abscission machinery that controls the final separation of daughter cells. The polymerization state of F-actin is important during assembly, ingression, disassembly, and closure of the contractile ring and for the cytoskeletal remodeling that accompanies midbody formation and progression to abscission. Actin filaments must be cleared from the abscission sites before the final cut can take place. Although many conserved proteins interact with and influence the polymerization state of actin filaments, it is poorly understood how they regulate cytokinesis in higher eukaryotes. We report here that the actin capping protein (CP), a barbed end actin binding protein, participates in the control of actin polymerization during later stages of cytokinesis in human cells. Cells depleted of CP furrow and form early midbodies, but they fail cytokinesis. Appropriate recruitment of the ESCRT-III abscission machinery to the midbody is impaired, preventing the cell from progressing to the abscission stage. To generate actin filaments of optimal length, different actin nucleators, such as formins, balance CP's activity. Loss of actin capping activity leads to excessive accumulation of formin-based linear actin filaments. Depletion of the formin FHOD1 results in partial rescue of CP-induced cytokinesis failure, suggesting that it can antagonize CP activity during midbody maturation. Our work suggests that the actin cytoskeleton is remodeled in a stepwise manner during cytokinesis, with different regulators at different stages required for successful progression to abscission.","Proceedings of the National Academy of Sciences of the United States of America",NA,NA
"11","29439186","Severe hemolysis and transfusion reactions after treatment with BGB-3111 and PD-1 antibody for Waldenström Macroglobulinemia.","","Haematologica",NA,NA
