"","PubmedID","Title","Abstract","Journal","Volume","Issue"
"1","29438462","Butyrate: A Double-Edged Sword for Health?","Butyrate, a four-carbon short-chain fatty acid, is produced through microbial fermentation of dietary fibers in the lower intestinal tract. Endogenous butyrate production, delivery, and absorption by colonocytes have been well documented. Butyrate exerts its functions by acting as a histone deacetylase (HDAC) inhibitor or signaling through several G protein-coupled receptors (GPCRs). Recently, butyrate has received particular attention for its beneficial effects on intestinal homeostasis and energy metabolism. With anti-inflammatory properties, butyrate enhances intestinal barrier function and mucosal immunity. However, the role of butyrate in obesity remains controversial. Growing evidence has highlighted the impact of butyrate on the gut-brain axis. In this review, we summarize the present knowledge on the properties of butyrate, especially its potential effects and mechanisms involved in intestinal health and obesity.","Advances in nutrition (Bethesda, Md.)","9","1"
"2","29438359","Effects of 17ß-Estradiol on Mitophagy in the Murine MC3T3-E1 Osteoblast Cell Line is Mediated via G Protein-Coupled Estrogen Receptor and the ERK1/2 Signaling Pathway.","BACKGROUND Osteoporosis is associated with 17ß-estradiol deficiency. The G protein-coupled receptor 30 (GPR30) is known to be an estrogen-responsive receptor, but its role in the degradation of mitochondria in osteoblasts by autophagy, or mitophagy, remains unclear. The aim of this in vitro study was to evaluate the effects of 17ß-estradiol, GPR30, and its signaling pathway, on mitophagy in the murine MC3T3-E1 osteoblast cell line. MATERIAL AND METHODS In the murine MC3T3-E1 osteoblast cell line, cells were treated with 17ß-estradiol, or G15, a selective GPR30 antagonist, or U0126, a mitogen-activated protein (MAP) kinase (ERK1/2) inhibitor, or with vehicle as control. The expression of GPR30 was determined by Western blot, reverse transcription-polymerase chain reaction (RT-PCR), and confocal immunofluorescence imaging. Cell morphology and mitochondrial autophagosomes were identified using transmission electron microscopy (TEM). Phosphorylation of the mitophagy markers, heat shock protein 60 (Hsp60), translocase of outer membrane (Tom)20, and microtubule-associated protein 1A/1B-light chain 3 (LC3) were determined by Western blot, and cell proliferation was determined using the bromodeoxyuridine (BrdU) assay. RESULTS The optimum concentration of 17ß-estradiol that resulted in GPR30 expression in MC3T3-E1 cells was 10^-7 M, which led to the accumulation of mitochondrial autophagosomes and increased protein phosphorylation levels of Hsp60, Tom20, and LC3. In cells pretreated with G15 or U0126, 17b-estradiol treatment did not increase mitophagy in MC3T3-E1 cells. CONCLUSIONS In murine osteoblasts cultured in vitro, treatment with 17ß-estradiol resulted in the expression of GPR30 and enhanced mitophagy through the GPR30 and ERK1/2 signaling pathway.","Medical science monitor : international medical journal of experimental and clinical research","24",NA
"3","29438014","G protein-coupled receptors control the sensitivity of cells to the morphogen Sonic Hedgehog.","","Science signaling","11","516"
"4","29438012","Hedgehog reciprocally controls trafficking of Smo and Ptc through the Smurf family of E3 ubiquitin ligases.","","Science signaling","11","516"
"5","29437639","Soluble GPVI is elevated in injured patients: shedding is mediated by fibrin activation of GPVI.","Soluble glycoprotein VI (sGPVI) is shed from the platelet surface and is a marker of platelet activation in thrombotic conditions. We assessed sGPVI levels together with patient and clinical parameters in acute and chronic inflammatory conditions, including patients with thermal injury and inflammatory bowel disease and patients admitted to the intensive care unit (ICU) for elective cardiac surgery, trauma, acute brain injury, or prolonged ventilation. Plasma sGPVI was measured by enzyme-linked immunosorbent assay and was elevated on day 14 after thermal injury, and was higher in patients who developed sepsis. sGPVI levels were associated with sepsis, and the value for predicting sepsis was increased in combination with platelet count and Abbreviated Burn Severity Index. sGPVI levels positively correlated with levels of D-dimer (a fibrin degradation product) in ICU patients and patients with thermal injury. sGPVI levels in ICU patients at admission were significantly associated with 28- and 90-day mortality independent of platelet count. sGPVI levels in patients with thermal injury were associated with 28-day mortality at days 1, 14, and 21 when adjusting for platelet count. In both cohorts, sGPVI associations with mortality were stronger than D-dimer levels. Mechanistically, release of GPVI was triggered by exposure of platelets to polymerized fibrin, but not by engagement of G protein-coupled receptors by thrombin, adenosine 5'-diphosphate, or thromboxane mimetics. Enhanced fibrin production in these patients may therefore contribute to the observed elevated sGPVI levels. sGPVI is an important platelet-specific marker for platelet activation that predicts sepsis progression and mortality in injured patients.","Blood advances","2","3"
"6","29437250",NA,"","Journal of pineal research",NA,NA
"7","29437005","S-Nitrosylation in regulation of inflammation and cell damage.","BACKGROUND: Cell signaling through nitric oxide (NO) is a multifaceted mechanism, which regulates metabolic activities and fate in different tissues. The peroxynitrite (ONOO-) formed as reaction product of nitric oxide radical and superoxide interacts with cell membrane phospholipids and proteins causing damage.OBJECTIVE: The reaction kinetics to form nitrotyrosine (ONOO-tyrosine) and/or nitrosylated cysteine (ONOO-cysteine) in protein molecules during posttranslational modification and nitration of lipids are therefore critical in determining cells' signaling mechanism for survival or apoptosis.RESULTS: The nitrosylation was found to modulate GPCRs and activation of guanylate cyclase as well as regulate NF-<U+03BA>B activation. The recent findings have shown the neuroprotective effects of S- nitrosylation, though mechanism is unclear.CONCLUSION: While keeping the background in mind, we address here the biological function of NO derivatives in medicine. We target four known compounds: SNAP, SIN- 1 chloride, SNP and GSNO to understand the effect of NO in different tissues. The objective is to analyze the existing findings to assess therapeutic relevance of NO-signaling during inflammation, vasodilation and tolerance.","Current drug targets",NA,NA
"8","29436774","Oxytocin Structure and Function in New World Monkeys: From Pharmacology to Behavior.","Oxytocin (OT) is a hypothalamic nonapeptide that mediates a host of physiological and behavioral processes including reproductive physiology and social attachments. While the OT sequence structure is highly conserved among mammals, New World monkeys (NWMs) represent an unusual 'hot spot' in OT structure variability among mammals. At least six distinct OT ligand variants among NWMs exist, yet it is currently unclear whether these evolved structural changes result in meaningful functional consequences. NWMs offer a new area to explore how these modifications to OT and its canonical G-protein coupled OT receptor (OTR) may mediate specific cellular, physiological, and behavioral outcomes. In this review, we highlight relationships between OT ligand and OTR structural variability specifically examining coevolution between OT ligands, OTRs, and physiological and behavioral phenotypes across NWMs. We consider whether these evolved modifications to the OT structure alter pharmacological profiles at human and marmoset OTRs including changes to receptor binding, intracellular signaling, and receptor internalization. Finally, we evaluate whether exogenous manipulation using OT variants in marmoset monkeys differentially enhance or impair behavioral processes involved in social relationships between pairmates, opposite-sex strangers, and parents and their offspring. Overall, it appears that changes to OT ligands in NWMs result in important changes ranging from cellular signaling to broad measures of social behavior. This article is protected by copyright. All rights reserved.","Integrative zoology",NA,NA
"9","29436590","17ß-estradiol protects INS-1 insulinoma cells from mitophagy via G protein-coupled estrogen receptors and the PI3K/Akt signaling pathway.","17ß-estradiol (17ß-E2) is a steroid hormone that is known to exert effects on blood glucose homeostasis. The G protein-coupled estrogen receptor (GPER) has been identified as a non-genomic estrogenic receptor, and is involved in numerous physiological processes, including cell survival, energy provision and metabolism. 17ß-E2 may decrease apoptosis by binding to the GPER. The phosphoinositide 3-kinase (PI3K)/Akt signaling pathway is involved in physiological and pathological functions such as autophagy. The purpose of the present study was to investigate the role of the PI3K/Akt signaling pathway in the mediation of the effects of GPERs, and the effects of 17ß-E2 on mitophagy in INS-1 cells, a rat insulin-secreting ß-cell line. In vitro, INS-1 cells were treated with different concentrations of 17ß-E2 with and without pretreatment with a GPER antagonist (G15) or PI3K antagonist (LY294002) and compared with a negative control. An immunofluorescence assay demonstrated that GPERs are expressed in INS-1 cells. Western blot assays demonstrated that 17ß-E2 increased GPER levels and the phosphorylation of Akt. Transmission electronic microscopy revealed that 17ß-E2 reduced the formation of mitophagosomes and autophagosomes in INS-1 cells. An immunofluorescence staining assay indicated that the co-localization of translocase of mitochondrial outer membrane complex 20 (TOM20) with lysosomal-associated membrane protein 2 (LAMP2) was decreased in INS-1 cells treated with 17ß-E2 alone. Western blotting demonstrated that 17ß-E2 reduced the protein levels of activated microtubule-associated protein-1 light chain 3, and increased those of TOM20 and mitochondrial heat-shock protein 60. Notably, the protective effects of 17ß-E2 were significantly diminished by G15 or LY294002. In conclusion, the present study suggests that 17ß-E2 activates the PI3K/Akt pathway via the GPER in INS-1 cells. Furthermore, 17ß-E2 may be involved in mitophagy by the regulating the GPER/PI3K/Akt pathway.","International journal of molecular medicine",NA,NA
"10","29436493",NA,"","Molecular pharmacology",NA,NA
